7zip 24.09-3
acpi 1.7-4
adw-gtk-theme 5.6-1
alacritty 0.14.0-1
apparmor 4.0.3-3
archcraft-about 2.0-0
archcraft-arandr 0.1.11-3
archcraft-artworks 1.0-5
archcraft-backgrounds 1.0-7
archcraft-backgrounds-branding 1.0-6
archcraft-bspwm 6.0-7
archcraft-config-geany 1.0-2
archcraft-config-music 1.0-2
archcraft-config-qt 1.0-2
archcraft-cursor-bibata 1.0-0
archcraft-cursor-breezex 1.0-0
archcraft-cursor-colloid 1.0-0
archcraft-cursor-fluent 1.0-6
archcraft-cursor-future 1.0-6
archcraft-cursor-layan 1.0-6
archcraft-cursor-lyra 1.0-6
archcraft-cursor-material 1.0-6
archcraft-cursor-nordic 1.0-0
archcraft-cursor-pear 1.0-6
archcraft-cursor-qogirr 1.0-6
archcraft-cursor-simple 1.0-0
archcraft-cursor-sweet 1.0-6
archcraft-cursor-vimix 1.0-6
archcraft-cursor-windows 1.0-0
archcraft-dunst-icons 1.0-3
archcraft-fonts 2.0-0
archcraft-funscripts 1.0-1
archcraft-grub-theme 1.0-7
archcraft-gtk-theme-adapta 1.0-7
archcraft-gtk-theme-arc 1.0-7
archcraft-gtk-theme-blade 1.0-7
archcraft-gtk-theme-catppuccin 1.0-7
archcraft-gtk-theme-cyberpunk 1.0-7
archcraft-gtk-theme-dracula 1.0-7
archcraft-gtk-theme-easy 1.0-7
archcraft-gtk-theme-everforest 1.0-7
archcraft-gtk-theme-fluent 1.0-0
archcraft-gtk-theme-groot 1.0-7
archcraft-gtk-theme-gruvbox 1.0-7
archcraft-gtk-theme-hack 1.0-7
archcraft-gtk-theme-juno 1.0-7
archcraft-gtk-theme-kanagawa 1.0-0
archcraft-gtk-theme-kripton 1.0-7
archcraft-gtk-theme-manhattan 1.0-7
archcraft-gtk-theme-material 1.0-0
archcraft-gtk-theme-nightfox 1.0-0
archcraft-gtk-theme-nordic 1.0-7
archcraft-gtk-theme-orchis 1.0-0
archcraft-gtk-theme-qogir 1.0-0
archcraft-gtk-theme-rick 1.0-7
archcraft-gtk-theme-slime 1.0-7
