7zip 24.09-3
geany-plugins 2.0-4
ghostscript 10.04.0-1
gimp 2.10.38-5
git-delta 0.18.2-4
github-cli 2.65.0-1
global 6.6.14-1
gnome-boxes 47.0-1
gnome-chess 47.0-1
gnome-keyring 1:46.2-1
gnuchess 6.2.9-3
gpart 0.3-5
gparted 1.6.0-2
gpick 0.3-2
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
grub 2:2.12-3
gsfonts 20200910-4
gst-libav 1.24.11-2
gst-plugin-pipewire 1:1.2.7-1
gst-plugins-bad 1.24.11-2
gst-plugins-good 1.24.11-2
gst-plugins-ugly 1.24.11-2
gstreamer 1.24.11-2
gtk-engine-murrine 0.98.2-4
gtk3-nocsd-git r82.512c2bd-1
gufw 24.04-3
gutenprint 5.3.4-3
gvfs 1.56.1-2
gvfs-afc 1.56.1-2
gvfs-google 1.56.1-2
gvfs-gphoto2 1.56.1-2
gvfs-mtp 1.56.1-2
gvfs-smb 1.56.1-2
gzip 1.13-4
hdparm 9.65-2
highlight 4.15-1
htop 3.3.0-3
hyperv 6.13-1
i3lock-color 2.13.c.5-3
iftop 1.0pre4-6
inetutils 2.5-1
inotify-tools 4.23.9.0-2
inter-font 4.1-1
inxi 3.3.37.1-1
iw 6.9-1
iwd 3.3-1
jasper 4.2.4-2
jfsutils 1.1.15-9
jq 1.7.1-2
kate 24.12.1-1
kdeconnect 24.12.1-1
kitty 0.39.0-1
kitty-terminfo 0.39.0-1
klavaro 3.14-2
kmines 24.12.1-1
knights 24.12.1-1
kolourpaint 24.12.1-1
ksuperkey 0.4-2
ktouch 24.12.1-1
kvantum 1.1.3-1
kvantum-qt5 1.1.3-1
lazygit 0.45.2-1
ldns 1.8.4-1
less 1:668-1
libappindicator-gtk2 12.10.0.r298-4
libavif 1.1.1-2
libc++ 19.1.7-1
libde265 1.0.15-3
libdv 1.0.0-11
libfido2 1.15.0-1
libheif 1.19.5-1
libmcrypt 2.5.8-6
libmpeg2 0.5.1-10
libpfm 4.13.0+r83+g91970fe-1
libreoffice-fresh 24.8.4-2
libreoffice-fresh-ar 24.8.4-1
libtheora 1.1.1-6
libusb-compat 0.1.8-2
libvpx 1.15.0-1
libwebp 1.5.0-1
light 1.2.2-5
linux 6.12.10.arch1-1
linux-atm 2.5.2-9
linux-firmware 20250109.7673dffd-1
linux-firmware-marvell 20250109.7673dffd-1
linux-headers 6.12.10.arch1-1
localsend-bin 1.16.1-1
lrzip 0.651-3
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2
lua51-metalua-compiler 0.7.3-1
luarocks 3.11.1-2
lvm2 2.03.30-1
lxappearance 0.6.3-5
lz4 1:1.10.0-2
lzip 1.25-1
lzop 1.04-4
macchanger 1.7.0-6
maim 5.8.0-2
make 4.4.1-2
man-db 2.13.0-1
man-pages 6.10-1
masterpdfeditor-free 4.3.89-1
mdadm 4.4-1
meld 3.22.3-1
memtest86+ 7.20-2
memtest86+-efi 7.20-2
mesa 1:24.3.4-1
mesa-utils 9.0.0-5
micro 2.0.14-1
mkinitcpio 39.2-3
mkinitcpio-firmware 1.4.0-1
mkinitcpio-nfs-utils 0.3-8
modemmanager 1.22.0-1
mpc 0.35-1
mpd 0.23.16-4
mplayer 38542-4
mpv 1:0.39.0-4
mtools 1:4.0.47-1
nano 8.3-1
nbd 3.26.1-2
ncdu 2.7-1
ncmpcpp 0.10.1-1
ndisc6 1.0.8-1
neovim 0.10.3-1
nethogs 0.8.8-1
network-manager-applet 1.36.0-1
network-manager-sstp 1.3.2-3
networkmanager 1.50.2-1
networkmanager-dmenu-git r205.33deba5-1
networkmanager-openconnect 1.2.10-2
networkmanager-openvpn 1.12.0-1
networkmanager-pptp 1.2.12-6
networkmanager-strongswan 1.6.0-2
networkmanager-vpnc 1.4.0-1
nfs-utils 2.8.2-2
nginx 1.26.2-1
nilfs-utils 2.2.11-1
nitrogen 1.6.1-6
nload 0.7.4-8
nm-connection-editor 1.36.0-1
nmap 7.95-1
